term,semester_label,total_fin350,fin350_before3,pct_before3,Mo_total,Mo_before3,Tu_total,Tu_before3,We_total,We_before3,Th_total,Th_before3,Fr_total,Fr_before3,Sa_total,Sa_before3,Su_total,Su_before3
2217,Fall 2021,19,4,21.1,7,2,6,2,6,2,6,2,0,0,0,0,0,0
2223,Spring 2022,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2227,Fall 2022,12,3,25.0,6,3,3,0,6,3,0,0,0,0,0,0,0,0
2231,Winter 2023,3,1,33.3,1,1,1,1,1,1,1,1,1,1,0,0,0,0
2233,Spring 2023,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2243,Spring 2024,11,4,36.4,5,2,4,2,4,2,3,2,1,0,0,0,0,0
2249,n/a,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2251,Winter 2025,4,1,25.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
2252,n/a,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2253,Spring 2025,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
