term,course,title,section,instructor,offered_seats,total_enrollment
2243,FIN 351 [02],Financial Management,02,Yi Zhou,40,39
2243,FIN 357 [01],Financial Statement and Data Analysis,01,Brian Yang,40,23
2243,FIN 355 [02],Investments,02,Shuming Liu,40,26
2243,FIN 101 [02],Personal Finance,02,Alan Jung,50,46
2243,FIN 655 [01],Alternative Investment,01,S Lin,40,29
2243,FIN 659 [01],Special Topics in Finance,01,Xue Han,40,31
2243,FIN 536 [01],International Finance,01,Herb Meiberger,40,38
2243,FIN 819 [01],Financial Analysis and Management,01,Brian Yang,20,18
2243,FIN 101 [03],Personal Finance,03,Alan Jung,50,45
2243,FIN 101 [01],Personal Finance,01,Christopher Yost-Bremm,69,69
2243,FIN 365 [01],Real Estate Principles,01,Katherine Mattes,40,21
2243,FIN 651 [01],"Student Managed Fund in Environmental, Social and Governance (ESG) Investments",01,Todd Feldman,20,19
2243,FIN 350 [10],Business Finance,10,Shuming Liu,40,34
2243,FIN 658 [01],Financial Risk Management,01,Yi Zhou,40,39
2243,FIN 350 [01],Business Finance,01,Yuli Su,41,41
2243,FIN 350 [09],Business Finance,09,S Lin,40,40
2243,FIN 350 [06],Business Finance,06,Gang Li,40,40
2243,FIN 353 [02],Financial Institutions,02,Xue Han,40,35
2243,FIN 351 [01],Financial Management,01,Yi Zhou,40,21
2243,FIN 350 [05],Business Finance,05,Gang Li,41,41
2243,FIN 350 [07],Business Finance,07,S Lin,40,39
2243,FIN 303 [01],Accounting for Financial Analysis,01,Herb Meiberger,40,24
2243,FIN 520 [01],"FinTech II: DeFi, Business Blockchain, and Machine Learning",01,Todd Feldman,40,5
2243,FIN 350 [03],Business Finance,03,Yuli Su,40,35
2243,FIN 350 [04],Business Finance,04,Gang Li,40,40
2243,FIN 699 [01],Independent Study,01,Ming Li,5,1
2243,FIN 536 [02],International Finance,02,Herb Meiberger,40,19
2243,FIN 785 [01],Financial Management,01,Brian Yang,20,13
2243,FIN 350 [11],Business Finance,11,Herb Meiberger,40,40
2243,FIN 355 [01],Investments,01,Shuming Liu,40,35
2243,FIN 350 [02],Business Finance,02,Yuli Su,40,37
2243,FIN 353 [01],Financial Institutions,01,Xue Han,40,37
2243,FIN 350 [12],Business Finance,12,Herb Meiberger,40,32
2253,FIN 350 [04],Business Finance,04,Gang Li,42,42
2253,FIN 351 [02],Financial Management,02,Yi Zhou,42,39
2253,FIN 101 [02],Personal Finance,02,Daniela Balkanska,80,79
2253,FIN 350 [08],Business Finance,08,S Lin,42,42
2253,FIN 350 [03],Business Finance,03,Yuli Su,42,34
2253,FIN 536 [02],International Finance,02,Daniela Balkanska,42,38
2253,FIN 536 [01],International Finance,01,Ming Li,45,45
2253,FIN 357 [01],Financial Statement and Data Analysis,01,Brian Yang,42,39
2253,FIN 353 [02],Financial Institutions,02,Xue Han,42,37
2253,FIN 785 [01],Financial Management,01,Brian Yang,20,20
2253,FIN 350 [10],Business Finance,10,Shuming Liu,42,42
2253,FIN 651 [01],"Student Managed Fund in Environmental, Social and Governance (ESG) Investments",01,Todd Feldman,20,19
2253,FIN 350 [07],Business Finance,07,S Lin,42,28
2253,FIN 350 [05],Business Finance,05,Gang Li,42,40
2253,FIN 819 [01],Financial Analysis and Management,01,Brian Yang,25,19
2253,FIN 351 [01],Financial Management,01,Yi Zhou,42,30
2253,FIN 101 [03],Personal Finance,03,Todd Feldman,50,50
2253,FIN 659 [01],Special Topics in Finance,01,Xue Han,43,43
2253,FIN 355 [01],Investments,01,Shuming Liu,42,34
2253,FIN 101 [01],Personal Finance,01,Ming Li,70,68
2253,FIN 353 [01],Financial Institutions,01,Xue Han,42,31
2253,FIN 350 [01],Business Finance,01,Yuli Su,42,39
2253,FIN 350 [06],Business Finance,06,Gang Li,42,42
2253,FIN 355 [02],Investments,02,Shuming Liu,42,31
2253,FIN 350 [09],Business Finance,09,S Lin,42,28
2253,FIN 350 [02],Business Finance,02,Yuli Su,42,40
2253,FIN 699 [01],Independent Study,01,Christopher Yost-Bremm,5,1
2253,FIN 658 [01],Financial Risk Management,01,Yi Zhou,42,40
2253,FIN 350 [13],Business Finance,13,Daniela Balkanska,42,42
